Accession,Description,15,20,25,30,35,40,45,50,55,60,# AAs,MW [kDa],calc. pI
769844525,PREDICTED: proteasome subunit beta type-6 [Pogonomyrmex barbatus],1,0.835,0.361,1.038,0.672,0.364,0.476,0.289,0.298,0.259,231,25.0,5.25
769844753,PREDICTED: calreticulin [Pogonomyrmex barbatus],1,0.799,0.325,1.083,0.672,0.410,0.605,0.375,0.429,0.391,404,46.9,4.59
769856913,PREDICTED: 40S ribosomal protein S8 [Pogonomyrmex barbatus],1,0.808,0.369,1.070,0.672,0.386,0.444,0.278,0.355,0.281,208,24.0,10.54
769844743,"PREDICTED: probable enoyl-CoA hydratase, mitochondrial [Pogonomyrmex barbatus]",1,0.795,0.306,1.055,0.670,0.377,0.468,0.293,0.274,0.164,296,32.2,9.09
769835376,PREDICTED: isopentenyl-diphosphate Delta-isomerase 1 [Pogonomyrmex barbatus],1,0.776,0.290,1.037,0.669,0.301,0.396,0.246,0.253,0.207,246,28.8,6.29
769843091,PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC105424303 [Pogonomyrmex barbatus],1,0.788,0.374,0.989,0.667,0.370,0.437,0.324,0.387,0.329,4777,540.7,6.33
769851360,PREDICTED: protein deglycase DJ-1-like [Pogonomyrmex barbatus],1,0.812,0.348,0.943,0.666,0.409,0.504,0.363,0.380,0.314,189,20.4,5.72
769834509,PREDICTED: histone H2B-like [Pogonomyrmex barbatus],1,0.888,0.293,1.215,0.666,0.284,0.296,0.208,0.219,0.248,123,13.8,10.35
769839949,PREDICTED: filamin-A isoform X4 [Pogonomyrmex barbatus],1,0.793,0.328,1.019,0.664,0.369,0.465,0.288,0.255,0.194,2246,243.0,6.49
769847565,"PREDICTED: ATP synthase subunit gamma, mitochondrial [Pogonomyrmex barbatus]",1,0.803,0.290,0.959,0.663,0.325,0.352,0.241,0.246,0.198,298,33.3,9.44
769849772,PREDICTED: flavin reductase (NADPH) [Pogonomyrmex barbatus],1,0.804,0.407,1.013,0.663,0.411,0.479,0.358,0.375,0.324,202,21.9,8.15
769859400,PREDICTED: titin isoform X3 [Pogonomyrmex barbatus],1,0.838,0.354,1.057,0.662,0.411,0.475,0.302,0.306,0.268,1033,110.7,4.79
769868935,PREDICTED: 4-hydroxyphenylpyruvate dioxygenase isoform X2 [Pogonomyrmex barbatus],1,0.862,0.317,1.025,0.661,0.378,0.452,0.248,0.207,0.151,380,43.9,6.35
769831054,PREDICTED: serpin B4-like isoform X1 [Pogonomyrmex barbatus],1,0.780,0.321,1.010,0.660,0.355,0.448,0.290,0.304,0.269,445,49.7,6.13
769839559,PREDICTED: heterogeneous nuclear ribonucleoprotein R isoform X7 [Pogonomyrmex barbatus],1,0.806,0.316,0.990,0.659,0.325,0.345,0.238,0.222,0.205,554,61.9,7.71
769863130,"PREDICTED: phosphate carrier protein, mitochondrial [Pogonomyrmex barbatus]",1,0.821,0.483,0.890,0.659,0.446,0.407,0.280,0.287,0.256,350,38.6,8.94
769844704,PREDICTED: LOW QUALITY PROTEIN: beta-galactosidase-like [Pogonomyrmex barbatus],1,0.805,0.311,1.047,0.659,0.380,0.460,0.327,0.317,0.259,635,71.4,5.90
769831237,PREDICTED: chymotrypsin-1-like isoform X3 [Pogonomyrmex barbatus],1,0.787,0.313,0.996,0.659,0.357,0.501,0.322,0.359,0.309,254,27.5,6.10
769849694,PREDICTED: GMP reductase 1-like isoform X1 [Pogonomyrmex barbatus],1,0.707,0.327,0.964,0.659,0.403,0.524,0.378,0.374,0.358,350,38.1,7.64
769866015,PREDICTED: xaa-Pro aminopeptidase 1 isoform X2 [Pogonomyrmex barbatus],1,0.816,0.310,1.048,0.659,0.381,0.459,0.281,0.303,0.247,622,70.0,6.46
769862587,PREDICTED: serine protease inhibitor 3/4-like isoform X3 [Pogonomyrmex barbatus],1,0.783,0.348,0.977,0.658,0.388,0.455,0.326,0.347,0.304,393,43.6,5.14
769863604,PREDICTED: spermatogenesis-associated protein 20 isoform X2 [Pogonomyrmex barbatus],1,0.817,0.346,1.020,0.658,0.329,0.355,0.238,0.267,0.223,796,90.7,7.21
769856977,PREDICTED: carboxypeptidase Q-like [Pogonomyrmex barbatus],1,0.759,0.329,0.983,0.657,0.350,0.411,0.258,0.238,0.225,479,52.7,5.60
769830185,"PREDICTED: ornithine decarboxylase 2-like, partial [Pogonomyrmex barbatus]",1,0.816,0.414,0.857,0.656,0.405,0.379,0.246,0.201,0.181,258,29.0,6.13
769867080,PREDICTED: venom allergen 3-like [Pogonomyrmex barbatus],1,0.820,0.350,1.008,0.655,0.427,0.574,0.383,0.430,0.386,233,26.6,8.48
769852441,PREDICTED: apolipoprotein D-like [Pogonomyrmex barbatus],1,0.781,0.324,1.041,0.654,0.350,0.424,0.290,0.323,0.284,275,30.7,5.95
769850824,PREDICTED: spidroin-2-like [Pogonomyrmex barbatus],1,0.799,0.375,0.936,0.653,0.347,0.361,0.236,0.243,0.194,492,50.7,5.73
769854864,PREDICTED: regucalcin-like isoform X2 [Pogonomyrmex barbatus],1,0.794,0.317,1.019,0.653,0.366,0.407,0.276,0.313,0.278,313,34.3,4.81
769846126,PREDICTED: proteasome subunit beta type-5 [Pogonomyrmex barbatus],1,0.808,0.323,1.042,0.652,0.375,0.434,0.285,0.229,0.190,292,32.2,7.88
769841648,"PREDICTED: delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial isoform X2 [Pogonomyrmex barbatus]",1,0.837,0.319,1.005,0.651,0.342,0.387,0.278,0.227,0.192,306,33.9,8.19
769864879,"PREDICTED: LOW QUALITY PROTEIN: sarcosine dehydrogenase, mitochondrial [Pogonomyrmex barbatus]",1,0.801,0.399,1.043,0.651,0.382,0.378,0.238,0.240,0.208,885,99.9,8.21
769850840,PREDICTED: lipase 3-like [Pogonomyrmex barbatus],1,0.814,0.336,1.050,0.651,0.372,0.404,0.219,0.175,0.147,414,47.2,6.99
769862702,PREDICTED: vacuolar protein sorting-associated protein VTA1 homolog [Pogonomyrmex barbatus],1,0.906,0.360,1.077,0.650,0.360,0.328,0.204,0.219,0.199,281,31.4,5.11
769861256,PREDICTED: LOW QUALITY PROTEIN: apolipophorins [Pogonomyrmex barbatus],1,0.810,0.319,0.983,0.650,0.379,0.461,0.278,0.265,0.215,3386,378.6,7.53
769865184,PREDICTED: pyrroline-5-carboxylate reductase 2 isoform X2 [Pogonomyrmex barbatus],1,0.836,0.306,1.015,0.649,0.312,0.349,0.204,0.215,0.194,263,28.0,8.72
769848117,PREDICTED: putative cysteine proteinase CG12163 isoform X2 [Pogonomyrmex barbatus],1,0.799,0.325,0.979,0.648,0.363,0.421,0.258,0.295,0.234,832,94.0,5.20
769834042,PREDICTED: transmembrane protease serine 9-like [Pogonomyrmex barbatus],1,0.778,0.319,1.070,0.647,0.366,0.460,0.305,0.336,0.294,870,95.4,6.62
769861086,PREDICTED: hemolymph lipopolysaccharide-binding protein-like [Pogonomyrmex barbatus],1,0.776,0.315,0.981,0.645,0.326,0.418,0.248,0.310,0.305,215,24.4,6.07
769850975,"PREDICTED: paramyosin, long form [Pogonomyrmex barbatus]",1,0.874,0.568,0.796,0.644,0.493,0.483,0.337,0.213,0.179,878,102.4,5.44
769862771,PREDICTED: putative cystathionine gamma-lyase 2 isoform X1 [Pogonomyrmex barbatus],1,0.803,0.324,1.007,0.644,0.403,0.417,0.304,0.278,0.202,359,39.9,7.97
769867859,"PREDICTED: proline dehydrogenase 1, mitochondrial [Pogonomyrmex barbatus]",1,0.820,0.327,0.978,0.643,0.321,0.369,0.249,0.273,0.282,519,59.9,8.85
769842300,PREDICTED: proteasome subunit alpha type-3 [Pogonomyrmex barbatus],1,0.845,0.350,0.980,0.643,0.338,0.413,0.285,0.208,0.201,254,27.9,5.69
769839755,"PREDICTED: dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial-like [Pogonomyrmex barbatus]",1,0.789,0.325,0.976,0.643,0.315,0.342,0.227,0.208,0.212,589,63.9,5.95
769832136,PREDICTED: thioredoxin-like protein 1 [Pogonomyrmex barbatus],1,0.770,0.297,1.013,0.643,0.343,0.365,0.224,0.210,0.147,221,24.6,5.07
769865938,PREDICTED: dipeptidyl peptidase 3 isoform X2 [Pogonomyrmex barbatus],1,0.834,0.335,0.971,0.643,0.353,0.357,0.246,0.215,0.184,731,82.8,5.41
769857177,PREDICTED: 40S ribosomal protein S23 [Pogonomyrmex barbatus],1,0.763,0.296,0.992,0.643,0.335,0.378,0.268,0.283,0.272,143,16.0,10.56
769831036,PREDICTED: FUN14 domain-containing protein 1A isoform X4 [Pogonomyrmex barbatus],1,0.791,0.330,0.958,0.642,0.355,0.399,0.252,0.253,0.213,163,17.8,9.83
769862686,PREDICTED: uncharacterized protein LOC105430989 [Pogonomyrmex barbatus],1,0.804,0.322,0.993,0.641,0.377,0.491,0.313,0.317,0.257,1743,203.3,5.40
769836927,PREDICTED: calpain-A isoform X5 [Pogonomyrmex barbatus],1,0.838,0.363,1.072,0.641,0.347,0.380,0.264,0.263,0.248,730,84.7,5.01
769866982,PREDICTED: esterase FE4-like [Pogonomyrmex barbatus],1,0.779,0.291,1.014,0.640,0.333,0.404,0.227,0.160,0.110,482,54.1,6.84
769833958,"PREDICTED: succinyl-CoA ligase subunit alpha, mitochondrial [Pogonomyrmex barbatus]",1,0.777,0.300,0.970,0.640,0.356,0.404,0.272,0.302,0.265,333,35.1,8.84
769832670,PREDICTED: protein lethal(2)essential for life-like [Pogonomyrmex barbatus],1,0.793,0.307,0.993,0.639,0.314,0.356,0.229,0.252,0.211,175,20.7,8.41
769862936,"PREDICTED: putative cystathionine gamma-lyase 2, partial [Pogonomyrmex barbatus]",1,0.794,0.316,0.997,0.637,0.396,0.411,0.304,0.283,0.210,342,37.9,6.73
769846145,PREDICTED: leucine-rich repeat-containing protein 15-like [Pogonomyrmex barbatus],1,0.829,0.327,1.040,0.637,0.324,0.385,0.199,0.190,0.156,274,31.1,6.09
769862040,PREDICTED: adenosylhomocysteinase [Pogonomyrmex barbatus],1,0.870,0.348,0.993,0.634,0.343,0.314,0.197,0.193,0.160,434,47.9,6.65
769836435,PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC105434354 [Pogonomyrmex barbatus],1,0.832,0.294,1.018,0.634,0.426,0.408,0.337,0.388,0.362,10784,1226.5,5.02
769860368,PREDICTED: phytanoyl-CoA dioxygenase domain-containing protein 1 homolog isoform X2 [Pogonomyrmex barbatus],1,0.777,0.306,0.934,0.633,0.315,0.343,0.227,0.227,0.215,282,32.7,6.79
769851084,PREDICTED: RNA-binding protein squid isoform X5 [Pogonomyrmex barbatus],1,0.777,0.333,0.920,0.633,0.377,0.399,0.297,0.314,0.287,300,32.5,6.28
769866113,PREDICTED: 40S ribosomal protein S3a [Pogonomyrmex barbatus],1,0.811,0.308,0.964,0.633,0.318,0.335,0.240,0.241,0.215,267,30.0,9.63
769857476,"PREDICTED: aldehyde dehydrogenase, mitochondrial [Pogonomyrmex barbatus]",1,0.789,0.312,1.029,0.632,0.329,0.403,0.242,0.183,0.132,510,56.5,6.95
769833510,PREDICTED: calcium/calmodulin-dependent protein kinase type II alpha chain isoform X18 [Pogonomyrmex barbatus],1,0.813,0.326,0.999,0.632,0.325,0.368,0.227,0.230,0.208,484,54.9,7.44
769850539,PREDICTED: T-complex protein 1 subunit alpha [Pogonomyrmex barbatus],1,0.761,0.328,0.880,0.631,0.330,0.356,0.242,0.290,0.253,557,59.9,6.21
769838500,PREDICTED: cAMP-dependent protein kinase type II regulatory subunit [Pogonomyrmex barbatus],1,0.792,0.320,0.944,0.630,0.302,0.346,0.219,0.230,0.225,383,43.9,5.15
769829850,PREDICTED: vinculin-like [Pogonomyrmex barbatus],1,0.849,0.322,0.968,0.630,0.358,0.399,0.257,0.236,0.229,154,16.9,5.55
769868388,"PREDICTED: grpE protein homolog 1, mitochondrial isoform X2 [Pogonomyrmex barbatus]",1,0.837,0.363,1.072,0.629,0.364,0.472,0.223,0.238,0.238,202,23.0,8.06
769846177,PREDICTED: four and a half LIM domains protein 2 isoform X7 [Pogonomyrmex barbatus],1,0.811,0.355,0.931,0.628,0.426,0.477,0.365,0.403,0.358,345,39.4,7.66
769839956,"PREDICTED: succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial [Pogonomyrmex barbatus]",1,0.856,0.320,1.044,0.627,0.341,0.366,0.230,0.203,0.182,424,46.3,5.47
769864133,PREDICTED: heat shock protein Hsp-12.2-like [Pogonomyrmex barbatus],1,0.787,0.315,1.033,0.627,0.317,0.355,0.216,0.234,0.228,200,23.2,6.35
769859856,"PREDICTED: 1,5-anhydro-D-fructose reductase-like isoform X1 [Pogonomyrmex barbatus]",1,0.787,0.332,0.974,0.627,0.342,0.337,0.231,0.204,0.162,310,35.3,7.87
769856006,PREDICTED: uncharacterized protein LOC105428788 [Pogonomyrmex barbatus],1,0.769,0.312,0.988,0.627,0.321,0.352,0.231,0.245,0.210,1875,217.3,5.05
769837520,PREDICTED: serine protease easter-like [Pogonomyrmex barbatus],1,0.774,0.337,1.020,0.627,0.341,0.375,0.228,0.256,0.201,393,43.0,6.83
769854574,PREDICTED: troponin I isoform X19 [Pogonomyrmex barbatus],1,0.791,0.314,1.034,0.626,0.364,0.440,0.306,0.376,0.325,198,23.9,9.76
769854562,PREDICTED: troponin I isoform X13 [Pogonomyrmex barbatus],1,0.772,0.297,1.033,0.626,0.352,0.475,0.319,0.413,0.364,212,25.2,9.70
769854572,PREDICTED: troponin I isoform X18 [Pogonomyrmex barbatus],1,0.772,0.294,1.029,0.626,0.352,0.473,0.317,0.409,0.363,198,23.7,9.88
769834393,"PREDICTED: phytanoyl-CoA dioxygenase, peroxisomal-like [Pogonomyrmex barbatus]",1,0.808,0.331,1.049,0.624,0.367,0.369,0.258,0.226,0.215,273,31.3,7.24
769844156,PREDICTED: proteasome subunit beta type-2-like [Pogonomyrmex barbatus],1,0.804,0.320,1.027,0.624,0.341,0.392,0.224,0.180,0.145,207,23.4,7.30
769834101,PREDICTED: endoplasmin [Pogonomyrmex barbatus],1,0.773,0.313,0.934,0.623,0.309,0.349,0.245,0.235,0.207,798,92.0,5.03
769866688,"PREDICTED: enoyl-CoA delta isomerase 2, mitochondrial [Pogonomyrmex barbatus]",1,0.776,0.308,0.962,0.622,0.344,0.389,0.240,0.209,0.200,252,28.0,7.94
769841066,PREDICTED: glyoxalase domain-containing protein 4 isoform X2 [Pogonomyrmex barbatus],1,0.750,0.296,0.987,0.622,0.319,0.326,0.186,0.184,0.118,284,32.0,6.06
769831380,PREDICTED: programmed cell death 6-interacting protein [Pogonomyrmex barbatus],1,0.797,0.332,1.008,0.622,0.328,0.357,0.223,0.227,0.215,838,93.6,5.95
769850895,PREDICTED: maltase 1-like [Pogonomyrmex barbatus],1,0.783,0.332,0.988,0.622,0.328,0.338,0.211,0.196,0.169,568,65.5,6.42
769834044,PREDICTED: serine protease 38-like [Pogonomyrmex barbatus],1,0.743,0.301,0.982,0.622,0.373,0.469,0.285,0.297,0.231,501,54.6,7.37
769858919,PREDICTED: digestive cysteine proteinase 1 [Pogonomyrmex barbatus],1,0.786,0.325,1.021,0.622,0.342,0.336,0.219,0.225,0.210,554,63.0,6.57
769864009,PREDICTED: vinculin-like isoform X2 [Pogonomyrmex barbatus],1,0.825,0.304,1.025,0.621,0.349,0.394,0.252,0.277,0.251,179,19.9,9.47
769843692,PREDICTED: 60S ribosomal protein L18a [Pogonomyrmex barbatus],1,0.801,0.257,0.938,0.620,0.297,0.332,0.186,0.178,0.151,193,22.7,10.78
769839329,PREDICTED: protein disulfide-isomerase [Pogonomyrmex barbatus],1,0.777,0.300,1.010,0.620,0.335,0.374,0.226,0.189,0.133,496,55.9,4.86
769847834,PREDICTED: puromycin-sensitive aminopeptidase [Pogonomyrmex barbatus],1,0.763,0.314,0.944,0.619,0.324,0.346,0.221,0.222,0.188,867,98.4,5.47
769860150,PREDICTED: serine protease 52-like [Pogonomyrmex barbatus],1,0.768,0.299,0.967,0.619,0.364,0.520,0.328,0.360,0.301,340,37.3,4.98
769834531,PREDICTED: LOW QUALITY PROTEIN: dnaJ protein homolog 1-like [Pogonomyrmex barbatus],1,0.784,0.342,1.014,0.619,0.355,0.389,0.256,0.278,0.241,350,38.8,8.92
769842882,PREDICTED: histone H2A [Pogonomyrmex barbatus],1,0.913,0.338,1.153,0.619,0.373,0.372,0.248,0.271,0.241,124,13.4,10.73
769866404,PREDICTED: leucine-rich repeat-containing protein 15-like [Pogonomyrmex barbatus],1,0.792,0.324,0.967,0.618,0.297,0.311,0.223,0.225,0.191,344,39.1,6.09
769848686,PREDICTED: proteasome subunit alpha type-6-like [Pogonomyrmex barbatus],1,0.799,0.331,0.950,0.618,0.318,0.359,0.224,0.171,0.158,246,27.4,7.66
769837570,PREDICTED: fatty-acid amide hydrolase 2-B-like [Pogonomyrmex barbatus],1,0.822,0.314,0.996,0.618,0.304,0.284,0.187,0.172,0.146,355,38.3,7.75
769833048,PREDICTED: phospholipase A1-like [Pogonomyrmex barbatus],1,0.778,0.278,0.953,0.617,0.331,0.419,0.272,0.292,0.253,229,25.7,7.09
769859472,PREDICTED: CCHC-type zinc finger protein CG3800 isoform X2 [Pogonomyrmex barbatus],1,0.868,0.356,1.038,0.617,0.398,0.417,0.281,0.339,0.322,154,16.9,8.22
769850814,PREDICTED: AMP deaminase 2 isoform X7 [Pogonomyrmex barbatus],1,0.765,0.406,0.935,0.617,0.286,0.264,0.191,0.194,0.153,733,84.3,6.46
769836431,PREDICTED: lysosomal aspartic protease-like [Pogonomyrmex barbatus],1,0.844,0.423,0.868,0.617,0.381,0.386,0.285,0.283,0.235,381,42.0,7.68
769831122,PREDICTED: lactoylglutathione lyase [Pogonomyrmex barbatus],1,0.838,0.302,1.037,0.615,0.310,0.380,0.184,0.203,0.165,183,21.0,5.66
769846715,PREDICTED: LOW QUALITY PROTEIN: centromere-associated protein E [Pogonomyrmex barbatus],1,0.803,0.364,1.082,0.615,0.412,0.551,0.363,0.344,0.303,540,62.3,5.27
769862688,PREDICTED: uncharacterized protein LOC105430990 [Pogonomyrmex barbatus],1,0.809,0.331,0.976,0.615,0.332,0.360,0.237,0.216,0.180,2576,300.1,6.46
769864287,"PREDICTED: enoyl-CoA delta isomerase 1, mitochondrial-like [Pogonomyrmex barbatus]",1,0.760,0.303,0.995,0.614,0.354,0.408,0.260,0.223,0.127,279,31.2,8.73
769864606,PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC105431612 [Pogonomyrmex barbatus],1,0.802,0.293,1.011,0.614,0.315,0.360,0.191,0.128,0.107,994,115.0,6.39
769835340,PREDICTED: LOW QUALITY PROTEIN: protein disulfide-isomerase A6 [Pogonomyrmex barbatus],1,0.808,0.316,1.043,0.613,0.340,0.380,0.236,0.195,0.171,439,47.8,5.49
769846486,PREDICTED: probable phospholipid hydroperoxide glutathione peroxidase [Pogonomyrmex barbatus],1,0.827,0.333,0.963,0.612,0.350,0.379,0.280,0.276,0.209,200,23.0,5.95
769866825,PREDICTED: glycogen [starch] synthase isoform X2 [Pogonomyrmex barbatus],1,0.798,0.327,0.895,0.612,0.293,0.281,0.211,0.187,0.154,593,68.0,6.93
769851908,PREDICTED: xaa-Pro dipeptidase [Pogonomyrmex barbatus],1,0.701,0.280,0.914,0.612,0.258,0.310,0.190,0.175,0.163,498,55.6,6.39
769856096,"PREDICTED: short/branched chain specific acyl-CoA dehydrogenase, mitochondrial-like [Pogonomyrmex barbatus]",1,0.781,0.325,0.951,0.612,0.261,0.315,0.191,0.184,0.165,417,45.5,7.34
769840148,PREDICTED: cytochrome b5-like [Pogonomyrmex barbatus],1,0.800,0.309,0.970,0.610,0.321,0.300,0.188,0.204,0.149,130,14.7,6.09
769850192,PREDICTED: peptidyl-prolyl cis-trans isomerase 5 [Pogonomyrmex barbatus],1,0.775,0.311,0.986,0.610,0.351,0.435,0.268,0.338,0.295,203,22.2,8.82
769866914,PREDICTED: phosphoglycerate mutase 1 [Pogonomyrmex barbatus],1,0.777,0.303,0.964,0.609,0.330,0.416,0.242,0.261,0.231,310,35.3,6.89
769863817,PREDICTED: protein-L-isoaspartate(D-aspartate) O-methyltransferase-like [Pogonomyrmex barbatus],1,0.760,0.365,0.909,0.609,0.373,0.379,0.230,0.239,0.213,229,25.3,8.59
769846789,PREDICTED: venom carboxylesterase-6-like [Pogonomyrmex barbatus],1,0.809,0.304,0.957,0.609,0.338,0.290,0.200,0.188,0.156,565,64.0,5.68
769857609,"PREDICTED: probable succinyl-CoA:3-ketoacid coenzyme A transferase, mitochondrial [Pogonomyrmex barbatus]",1,0.742,0.288,0.930,0.608,0.282,0.287,0.221,0.187,0.185,544,58.8,5.54
769859550,PREDICTED: adenylate kinase [Pogonomyrmex barbatus],1,0.819,0.319,1.051,0.608,0.354,0.404,0.267,0.259,0.229,215,23.9,8.59
769849822,PREDICTED: proteasome subunit alpha type-7-1 [Pogonomyrmex barbatus],1,0.780,0.340,0.970,0.608,0.345,0.385,0.236,0.159,0.136,249,27.9,7.80
769835822,PREDICTED: ubiquitin-like modifier-activating enzyme 1 [Pogonomyrmex barbatus],1,0.763,0.316,0.941,0.608,0.309,0.302,0.176,0.205,0.171,1080,119.3,5.35
769867734,PREDICTED: T-complex protein 1 subunit gamma [Pogonomyrmex barbatus],1,0.750,0.343,0.930,0.607,0.314,0.306,0.211,0.214,0.165,548,60.8,6.67
769833219,PREDICTED: probable transaldolase [Pogonomyrmex barbatus],1,0.803,0.332,0.982,0.607,0.334,0.325,0.226,0.214,0.193,337,37.8,6.06
769837518,PREDICTED: serine protease easter-like [Pogonomyrmex barbatus],1,0.749,0.293,0.995,0.606,0.349,0.350,0.254,0.235,0.240,377,41.6,6.89
769861997,"PREDICTED: 6-phosphogluconate dehydrogenase, decarboxylating [Pogonomyrmex barbatus]",1,0.763,0.333,0.906,0.606,0.323,0.349,0.223,0.228,0.188,482,52.8,7.27
769833298,PREDICTED: kynurenine--oxoglutarate transaminase 3 isoform X3 [Pogonomyrmex barbatus],1,0.784,0.312,0.914,0.605,0.308,0.333,0.212,0.192,0.167,446,50.5,7.75
769849052,PREDICTED: T-complex protein 1 subunit eta [Pogonomyrmex barbatus],1,0.848,0.318,0.925,0.605,0.309,0.289,0.185,0.173,0.168,541,59.7,6.80
769856160,PREDICTED: probable peroxisomal acyl-coenzyme A oxidase 1 [Pogonomyrmex barbatus],1,0.758,0.300,0.929,0.605,0.294,0.318,0.203,0.212,0.204,666,74.9,6.96
769858060,PREDICTED: probable phospholipid hydroperoxide glutathione peroxidase isoform X2 [Pogonomyrmex barbatus],1,0.827,0.306,0.984,0.605,0.321,0.332,0.185,0.210,0.166,168,19.0,7.36
769854424,PREDICTED: cytosolic purine 5'-nucleotidase isoform X7 [Pogonomyrmex barbatus],1,0.791,0.300,0.915,0.604,0.298,0.321,0.188,0.201,0.219,550,63.9,6.38
769835710,PREDICTED: protein Mo25 isoform X2 [Pogonomyrmex barbatus],1,0.780,0.323,0.921,0.604,0.306,0.270,0.169,0.176,0.180,333,38.9,7.58
769868907,"PREDICTED: 4-aminobutyrate aminotransferase, mitochondrial isoform X2 [Pogonomyrmex barbatus]",1,0.793,0.300,0.956,0.604,0.311,0.314,0.223,0.210,0.166,404,45.9,8.50
769859426,PREDICTED: cAMP-dependent protein kinase type I regulatory subunit isoform X2 [Pogonomyrmex barbatus],1,0.752,0.284,0.997,0.604,0.314,0.394,0.236,0.191,0.162,321,35.5,4.98
769845755,PREDICTED: pyridoxal kinase [Pogonomyrmex barbatus],1,0.829,0.308,0.927,0.603,0.369,0.348,0.230,0.227,0.286,298,33.2,7.12
769840370,PREDICTED: dihydropyrimidinase [Pogonomyrmex barbatus],1,0.810,0.299,0.950,0.602,0.298,0.292,0.168,0.155,0.136,571,61.7,6.04
769845784,PREDICTED: uncharacterized protein LOC105425203 [Pogonomyrmex barbatus],1,0.812,0.308,0.956,0.602,0.321,0.378,0.233,0.274,0.238,1926,212.9,7.84
769864762,"PREDICTED: probable aspartate aminotransferase, cytoplasmic [Pogonomyrmex barbatus]",1,0.797,0.325,0.937,0.602,0.322,0.304,0.207,0.186,0.169,229,25.9,5.59
769865288,PREDICTED: LOW QUALITY PROTEIN: failed axon connections-like [Pogonomyrmex barbatus],1,0.732,0.308,0.914,0.601,0.309,0.354,0.244,0.246,0.201,298,33.4,5.21
769864044,PREDICTED: glyoxylate reductase/hydroxypyruvate reductase-like [Pogonomyrmex barbatus],1,0.807,0.286,0.971,0.601,0.319,0.297,0.209,0.187,0.196,322,34.8,8.03
365266869,"14-3-3 zeta, partial [Pogonomyrmex barbatus]",1,0.786,0.307,1.041,0.600,0.322,0.345,0.171,0.115,0.092,105,11.7,4.46
769840613,"PREDICTED: malate dehydrogenase, mitochondrial isoform X1 [Pogonomyrmex barbatus]",1,0.807,0.293,1.035,0.600,0.322,0.382,0.205,0.123,0.091,339,35.7,9.50
769865232,PREDICTED: T-complex protein 1 subunit theta [Pogonomyrmex barbatus],1,0.784,0.316,0.925,0.599,0.286,0.360,0.219,0.254,0.228,545,59.0,5.85
769865504,PREDICTED: rho GDP-dissociation inhibitor 2 isoform X2 [Pogonomyrmex barbatus],1,0.772,0.354,1.028,0.599,0.358,0.363,0.247,0.232,0.182,202,23.0,5.21
769842168,PREDICTED: uncharacterized protein LOC105423973 [Pogonomyrmex barbatus],1,0.867,0.375,0.859,0.596,0.364,0.349,0.231,0.227,0.205,1087,122.2,6.73
769830221,"PREDICTED: TOM1-like protein 2, partial [Pogonomyrmex barbatus]",1,0.799,0.294,0.960,0.596,0.323,0.316,0.338,0.262,0.204,238,26.8,5.11
769850664,PREDICTED: coronin-6 isoform X2 [Pogonomyrmex barbatus],1,0.822,0.373,0.895,0.595,0.367,0.347,0.253,0.241,0.210,492,54.5,6.55
769833816,PREDICTED: juvenile hormone epoxide hydrolase 2-like [Pogonomyrmex barbatus],1,0.769,0.286,0.859,0.593,0.270,0.297,0.184,0.164,0.171,459,52.9,9.03
769848915,PREDICTED: LOW QUALITY PROTEIN: 60S ribosomal protein L3 [Pogonomyrmex barbatus],1,0.828,0.289,0.983,0.592,0.305,0.380,0.232,0.265,0.209,414,47.1,10.23
769856092,PREDICTED: protein hu-li tai shao isoform X7 [Pogonomyrmex barbatus],1,0.778,0.293,0.904,0.591,0.284,0.279,0.166,0.169,0.143,617,68.6,7.31
769866775,PREDICTED: nidogen-2 isoform X2 [Pogonomyrmex barbatus],1,0.834,0.354,0.927,0.590,0.468,0.524,0.365,0.360,0.305,1241,136.6,5.08
769830152,"PREDICTED: aspartate aminotransferase, cytoplasmic-like, partial [Pogonomyrmex barbatus]",1,0.792,0.288,0.968,0.589,0.306,0.289,0.174,0.134,0.115,194,22.2,8.18
769859405,"PREDICTED: LOW QUALITY PROTEIN: very long-chain specific acyl-CoA dehydrogenase, mitochondrial-like [Pogonomyrmex barbatus]",1,0.813,0.314,0.914,0.588,0.300,0.330,0.196,0.165,0.135,638,70.0,7.93
769867565,PREDICTED: glucosylceramidase-like isoform X2 [Pogonomyrmex barbatus],1,0.758,0.311,1.008,0.588,0.333,0.422,0.253,0.269,0.211,520,60.3,5.58
769843160,PREDICTED: annexin B9-like isoform X2 [Pogonomyrmex barbatus],1,0.769,0.297,0.968,0.588,0.273,0.285,0.164,0.148,0.125,323,35.9,4.88
769839665,PREDICTED: V-type proton ATPase subunit D [Pogonomyrmex barbatus],1,0.837,0.251,0.997,0.587,0.291,0.311,0.213,0.196,0.201,229,25.8,9.38
769840334,PREDICTED: plastin-2 isoform X2 [Pogonomyrmex barbatus],1,0.795,0.313,0.970,0.587,0.298,0.293,0.210,0.200,0.165,632,70.9,5.57
