,slope,Tm,min,Accession,Description,X15,X20,X30,X35,X40,X45,X50,X55,X60,X..AAs,MW..kDa.,calc..pI
126,0.308217544,34.39267942,0.126917873,769865653,PREDICTED: NADP-dependent malic enzyme isoform X2 [Pogonomyrmex barbatus],1,0.765,0.88,0.493,0.248,0.208,0.127,0.124,0.107,622,69.5,7.31
127,0.25757782,34.13963619,0.098202587,769865755,PREDICTED: enolase [Pogonomyrmex barbatus],1,0.745,0.856,0.467,0.226,0.196,0.108,0.103,0.091,434,47,6.33
128,0.297525728,34.40326059,0.14075022,769866073,"PREDICTED: 60 kDa heat shock protein, mitochondrial-like [Pogonomyrmex barbatus]",1,0.754,0.877,0.51,0.253,0.228,0.143,0.139,0.124,569,60.4,5.77
129,0.334823717,33.89240011,0.143216873,769866308,PREDICTED: clavesin-1-like [Pogonomyrmex barbatus],1,0.735,0.865,0.471,0.226,0.218,0.142,0.139,0.119,191,22.2,7.03
130,0.595820025,33.96468134,0.288024949,769867078,PREDICTED: venom allergen 3-like [Pogonomyrmex barbatus],1,0.779,0.959,0.525,0.353,0.38,0.233,0.276,0.226,226,25.4,8.21
131,0.344126957,33.90319115,0.184297488,769867367,"PREDICTED: cytochrome b-c1 complex subunit Rieske, mitochondrial isoform X2 [Pogonomyrmex barbatus]",1,0.754,0.88,0.486,0.276,0.249,0.18,0.183,0.155,236,25.6,8.16
132,0.206703524,33.61860085,0.076463277,769867742,"PREDICTED: probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial [Pogonomyrmex barbatus]",1,0.732,0.826,0.443,0.211,0.175,0.107,0.106,0.082,360,39.2,7.87
133,0.378879444,34.44220477,0.146736574,769867797,"PREDICTED: aspartate aminotransferase, mitochondrial isoform X2 [Pogonomyrmex barbatus]",1,0.751,0.912,0.499,0.255,0.207,0.135,0.143,0.117,393,44,8.53
134,0.289974669,34.34741762,0.100172679,769868047,PREDICTED: annexin B9 [Pogonomyrmex barbatus],1,0.754,0.871,0.476,0.225,0.195,0.107,0.097,0.079,324,36.1,5.77
135,0.18412322,32.87817169,0.094179547,769868338,"PREDICTED: succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial-like isoform X1 [Pogonomyrmex barbatus]",1,0.717,0.82,0.417,0.202,0.214,0.129,0.127,0.107,290,33,8.88
136,0.56474336,34.630036,0.197937772,769868592,"PREDICTED: ATP synthase subunit O, mitochondrial [Pogonomyrmex barbatus]",1,0.783,1,0.531,0.299,0.29,0.164,0.162,0.128,207,22.5,9.69
137,0.318196928,34.49096139,0.18099107,769868833,PREDICTED: cofilin/actin-depolymerizing factor homolog [Pogonomyrmex barbatus],1,0.722,0.916,0.516,0.292,0.293,0.163,0.176,0.149,89,10.2,9.45
138,0.178065077,34.18076097,0.121272179,769868839,"PREDICTED: short-chain specific acyl-CoA dehydrogenase, mitochondrial, partial [Pogonomyrmex barbatus]",1,0.719,0.852,0.527,0.257,0.263,0.158,0.158,0.143,400,43.3,7.97
139,0.307695142,34.29109664,0.121027956,769868963,PREDICTED: cytochrome P450 6k1-like [Pogonomyrmex barbatus],1,0.712,0.878,0.488,0.229,0.198,0.137,0.111,0.102,504,58.4,8.97
